time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,pressure_msl
"2025-10-26T00:00",26,89,0,2.9,1011.5
"2025-10-26T01:00",25.6,91,0,3.1,1011.1
"2025-10-26T02:00",25.4,92,0,3.2,1010.8
"2025-10-26T03:00",25.3,92,0,3.6,1010.6
"2025-10-26T04:00",25.1,93,0,3.6,1010.4
"2025-10-26T05:00",24.9,93,0,3.3,1010.7
"2025-10-26T06:00",25.2,91,0,2.1,1011.2
"2025-10-26T07:00",25.8,91,0,2,1012.1
"2025-10-26T08:00",27.4,86,0,3.3,1012.6
"2025-10-26T09:00",29,79,0,4.3,1013.2
"2025-10-26T10:00",30.2,71,0,5.8,1013
"2025-10-26T11:00",31.1,62,0,5.9,1012.1
"2025-10-26T12:00",32.2,55,0,3.9,1011.2
"2025-10-26T13:00",32.4,53,0,4.8,1010
"2025-10-26T14:00",32.3,53,0,5.6,1009.4
"2025-10-26T15:00",32,54,0,6,1008.8
"2025-10-26T16:00",31.2,59,0,5.2,1008.9
"2025-10-26T17:00",29.7,70,0,3.7,1008.8
"2025-10-26T18:00",28.3,74,0,3.4,1008.8
"2025-10-26T19:00",27.7,75,0,3.3,1009.3
"2025-10-26T20:00",27,76,0,3.3,1010.3
"2025-10-26T21:00",26.5,78,0,3.4,1010.9
"2025-10-26T22:00",26,80,0,3.4,1011
"2025-10-26T23:00",25.6,82,0,3.3,1011.1
"2025-10-27T00:00",25.3,83,0,3,1011.4
"2025-10-27T01:00",25.1,83,0,3.1,1011.5
"2025-10-27T02:00",25,83,0,2.9,1011.4
"2025-10-27T03:00",24.6,85,0,3.4,1011.7
"2025-10-27T04:00",24.2,86,0,3.5,1011.6
"2025-10-27T05:00",24,87,0,3.7,1011.8
"2025-10-27T06:00",23.8,87,0,3.8,1012.1
"2025-10-27T07:00",24.4,87,0,3.3,1012.7
"2025-10-27T08:00",26.3,80,0,4.6,1013.5
"2025-10-27T09:00",28.1,75,0,4.8,1013.9
"2025-10-27T10:00",29.8,70,0,4.6,1013.8
"2025-10-27T11:00",31.2,61,0,4.2,1013.1
"2025-10-27T12:00",31.9,58,0,3.6,1011.9
"2025-10-27T13:00",32.3,56,0,4.2,1010.9
"2025-10-27T14:00",32.3,56,0,5.2,1010.1
"2025-10-27T15:00",31.9,58,0,5.8,1009.8
"2025-10-27T16:00",31.2,61,0,5.2,1009.5
"2025-10-27T17:00",29.6,72,0,4.6,1009.6
"2025-10-27T18:00",27.8,79,0,4.5,1009.9
"2025-10-27T19:00",27,83,0,4.2,1010.7
"2025-10-27T20:00",26.7,82,0,2.9,1011.3
"2025-10-27T21:00",26.2,83,0,3.6,1011.7
"2025-10-27T22:00",26.1,82,0,2.2,1011.9
"2025-10-27T23:00",25.8,82,0,2.5,1012.1
"2025-10-28T00:00",25.5,83,0,3.3,1012.2
"2025-10-28T01:00",25.4,82,0,3.6,1011.7
"2025-10-28T02:00",24.9,84,0,3.3,1011.1
"2025-10-28T03:00",24.3,86,0,3,1010.8
"2025-10-28T04:00",23.9,88,0,3.2,1010.7
"2025-10-28T05:00",23.6,90,0,3.2,1010.9
"2025-10-28T06:00",23.4,91,0,3.6,1011.6
"2025-10-28T07:00",24,90,0,3.8,1012.3
"2025-10-28T08:00",26,84,0,4.9,1013.1
"2025-10-28T09:00",28,77,0,4.8,1013.5
"2025-10-28T10:00",29.9,72,0,5,1013.2
"2025-10-28T11:00",31.3,66,0,4.7,1012.1
"2025-10-28T12:00",32.1,61,0,3.1,1010.9
"2025-10-28T13:00",32.2,60,0.1,4,1010
