time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,pressure_msl
"2025-10-15T00:00",25.2,91,0,3.8,1009
"2025-10-15T01:00",24.9,91,0,3.6,1008.5
"2025-10-15T02:00",24.6,91,0,3.9,1008.4
"2025-10-15T03:00",24.4,91,0,4.2,1008.2
"2025-10-15T04:00",24.2,92,0,4.4,1007.7
"2025-10-15T05:00",24,91,0,4.2,1007.7
"2025-10-15T06:00",24.2,94,0,3.3,1008.7
"2025-10-15T07:00",24.9,92,0,3.7,1009.7
"2025-10-15T08:00",26.8,86,0,5.3,1010.6
"2025-10-15T09:00",28.5,82,0,5.6,1011.1
"2025-10-15T10:00",30,76,0,5.6,1010.6
"2025-10-15T11:00",31.1,65,0,4.6,1009.8
"2025-10-15T12:00",32,57,0,3.3,1009.1
"2025-10-15T13:00",32.1,55,0,4.7,1008.3
"2025-10-15T14:00",31.9,56,0,5.2,1007.3
"2025-10-15T15:00",31.4,58,0,5.6,1006.7
"2025-10-15T16:00",30.8,63,0,4.8,1006.2
"2025-10-15T17:00",29.5,74,0,3.8,1006.2
"2025-10-15T18:00",28,79,0,3.8,1006.7
"2025-10-15T19:00",27,82,0,3.4,1007.3
"2025-10-15T20:00",26.6,82,0,2.6,1008.2
"2025-10-15T21:00",26.4,82,0,3.1,1008.9
"2025-10-15T22:00",25.7,83,0,3.8,1009.2
"2025-10-15T23:00",25,87,0,4.2,1009.2
"2025-10-16T00:00",24.7,89,0,3.7,1009
"2025-10-16T01:00",24.3,92,0,4.1,1009
"2025-10-16T02:00",24,93,0,4.6,1008.8
"2025-10-16T03:00",23.8,93,0,4.8,1008.6
"2025-10-16T04:00",23.6,93,0,4.9,1008.5
"2025-10-16T05:00",23.4,92,0,4.7,1008.9
"2025-10-16T06:00",23.2,92,0,4,1009.5
"2025-10-16T07:00",24,90,0,4,1010.2
"2025-10-16T08:00",25.8,85,0,4.9,1011.1
"2025-10-16T09:00",27.6,80,0,4.9,1011.5
"2025-10-16T10:00",29.4,76,0,4.6,1011.4
"2025-10-16T11:00",30.7,69,0,4.1,1010.7
"2025-10-16T12:00",31.5,63,0,2.8,1009.5
"2025-10-16T13:00",31.9,61,0,4.3,1008.4
"2025-10-16T14:00",31.9,61,0,4.9,1007.4
"2025-10-16T15:00",31.6,62,0,5.2,1007
"2025-10-16T16:00",31.1,65,0,5.1,1007.1
"2025-10-16T17:00",29.7,75,0,4.4,1007.4
"2025-10-16T18:00",28.1,81,0,4.3,1007.8
"2025-10-16T19:00",27.1,84,0,4.3,1008.5
"2025-10-16T20:00",26.6,85,0,4,1009.5
"2025-10-16T21:00",26.1,86,0,4,1010.1
"2025-10-16T22:00",25.7,88,0,4.2,1010.5
"2025-10-16T23:00",25.2,90,0,4.3,1010.5
"2025-10-17T00:00",24.9,91,0,4.1,1010.4
"2025-10-17T01:00",24.6,92,0,4.3,1010.2
"2025-10-17T02:00",24.4,92,0,4.3,1010.1
"2025-10-17T03:00",24.2,93,0,4.3,1010.1
"2025-10-17T04:00",24,94,0,4.3,1010
"2025-10-17T05:00",23.8,94,0,3.8,1010.5
"2025-10-17T06:00",23.7,94,0,3.8,1011.1
"2025-10-17T07:00",24.5,92,0,3.6,1012
"2025-10-17T08:00",26.4,86,0,4.4,1012.8
"2025-10-17T09:00",28.2,82,0,3.5,1013.2
"2025-10-17T10:00",29.9,77,0,2.6,1012.8
"2025-10-17T11:00",30.7,72,0.1,1.6,1012
"2025-10-17T12:00",31.2,67,0.1,1.8,1010.8
"2025-10-17T13:00",31.6,64,0,1.5,1010
"2025-10-17T14:00",31.6,65,0,1.6,1009.3
"2025-10-17T15:00",31.6,65,0,2.2,1008.7
"2025-10-17T16:00",31.2,67,0,3.1,1008.6
"2025-10-17T17:00",30.3,76,0,1.8,1008.7
"2025-10-17T18:00",29.6,78,0,1.8,1009.1
"2025-10-17T19:00",29.1,78,0,2.8,1009.9
"2025-10-17T20:00",28.6,78,0,3.1,1010.7
"2025-10-17T21:00",28.3,79,0,2.9,1011.1
"2025-10-17T22:00",28,79,0,2.8,1011.3
"2025-10-17T23:00",27.9,80,0,3.4,1011.3
"2025-10-18T00:00",27.4,84,0,3.3,1011.2
"2025-10-18T01:00",26.6,91,0,2.5,1011
"2025-10-18T02:00",26.3,93,0,2.1,1010.6
"2025-10-18T03:00",26,95,0,2.6,1010.3
"2025-10-18T04:00",25.6,95,0,3.1,1010.2
"2025-10-18T05:00",25.5,95,0,1.8,1010.4
"2025-10-18T06:00",25.3,95,0,2.9,1011.2
"2025-10-18T07:00",25.8,95,0,1.8,1011.7
"2025-10-18T08:00",27.4,89,0,0.4,1012.5
"2025-10-18T09:00",28.5,84,0,1.8,1012.6
"2025-10-18T10:00",30,77,0,2.9,1012.3
"2025-10-18T11:00",31.1,74,0,4.1,1011.3
"2025-10-18T12:00",31.4,72,0,4.3,1010.1
"2025-10-18T13:00",31.6,70,0,2.8,1009.1
"2025-10-18T14:00",31.4,70,0.1,0.5,1008.4
"2025-10-18T15:00",30.7,75,0.3,5.5,1008.1
"2025-10-18T16:00",29.8,78,0.3,6.5,1008.2
"2025-10-18T17:00",28.9,81,0,4.4,1008.3
"2025-10-18T18:00",27.6,87,0,3.3,1008.6
"2025-10-18T19:00",27.1,89,0,2.8,1009
"2025-10-18T20:00",26.9,91,0,2.3,1009.6
"2025-10-18T21:00",26.7,92,0,2.2,1009.9
"2025-10-18T22:00",26.5,93,0,2.6,1009.9
"2025-10-18T23:00",26.3,93,0,3.4,1009.7
"2025-10-19T00:00",26.1,94,0,3.5,1009.5
"2025-10-19T01:00",25.7,95,0,3.4,1009.1
"2025-10-19T02:00",25.4,96,0,3.1,1008.7
"2025-10-19T03:00",25.1,96,0,3.1,1008.5
"2025-10-19T04:00",24.9,96,0,2.9,1008.6
"2025-10-19T05:00",24.7,96,0,2.9,1008.9
"2025-10-19T06:00",25,94,0,2.9,1009.3
"2025-10-19T07:00",26.2,91,0,3.3,1010
"2025-10-19T08:00",27.9,86,0,3.8,1010.7
"2025-10-19T09:00",29.4,81,0,4.1,1011.1
"2025-10-19T10:00",30.6,74,0,4.8,1010.8
"2025-10-19T11:00",31.7,67,0,5.4,1010.2
"2025-10-19T12:00",32.4,61,0,5.8,1009.5
"2025-10-19T13:00",32.7,58,0,5.4,1008.8
"2025-10-19T14:00",32.8,56,0,5.2,1008
"2025-10-19T15:00",32.4,58,0,4.4,1007.5
"2025-10-19T16:00",31.4,65,0,3.6,1007.4
"2025-10-19T17:00",30,75,0,3.3,1007.6
"2025-10-19T18:00",28.8,82,0,3.9,1007.9
"2025-10-19T19:00",27.9,84,0,3.8,1008.4
"2025-10-19T20:00",27.3,85,0,3.7,1009
"2025-10-19T21:00",26.7,85,0,3.8,1009.4
"2025-10-19T22:00",26.3,87,0,3.7,1009.6
"2025-10-19T23:00",26,88,0,3.7,1009.6
"2025-10-20T00:00",25.7,90,0,3.7,1009.5
"2025-10-20T01:00",25.5,91,0,4,1009.3
"2025-10-20T02:00",25.2,92,0,4.3,1009.1
"2025-10-20T03:00",25,92,0,4.3,1009
"2025-10-20T04:00",24.5,92,0,4,1009.1
"2025-10-20T05:00",24,93,0,3.6,1009.3
"2025-10-20T06:00",24.1,92,0,3.2,1009.7
"2025-10-20T07:00",25.1,90,0,3.6,1010.4
"2025-10-20T08:00",26.7,87,0,4.3,1011.2
"2025-10-20T09:00",28.3,83,0,4.7,1011.6
"2025-10-20T10:00",29.7,77,0,4.4,1011.3
"2025-10-20T11:00",31.1,69,0,3.8,1010.6
"2025-10-20T12:00",32.1,64,0,3.2,1010.1
"2025-10-20T13:00",32.2,61,0,3.3,1009
"2025-10-20T14:00",32.2,61,0,4.3,1008.4
"2025-10-20T15:00",31.8,63,0,5.4,1007.9
"2025-10-20T16:00",30.8,69,0,5.4,1007.8
"2025-10-20T17:00",29.4,77,0,4.7,1007.9
"2025-10-20T18:00",28.3,83,0,4,1008.2
"2025-10-20T19:00",27.7,85,0,3.4,1008.9
"2025-10-20T20:00",27.3,85,0,3.1,1009.8
"2025-10-20T21:00",27,85,0,3.1,1010.4
"2025-10-20T22:00",26.4,87,0,3.4,1010.6
"2025-10-20T23:00",25.9,90,0,3.7,1010.6
"2025-10-21T00:00",25.4,92,0,4,1010.5
"2025-10-21T01:00",25.1,93,0,4.2,1010.2
"2025-10-21T02:00",24.8,94,0,4,1009.9
"2025-10-21T03:00",24.7,94,0,4,1009.7
"2025-10-21T04:00",24.4,94,0,3.6,1009.9
"2025-10-21T05:00",24.2,94,0,2.9,1010.3
"2025-10-21T06:00",24.4,93,0,2.5,1010.8
"2025-10-21T07:00",25.5,91,0,2.5,1011.5
"2025-10-21T08:00",27.2,87,0,2.9,1012.4
"2025-10-21T09:00",28.7,83,0,3.3,1012.8
"2025-10-21T10:00",29.9,77,0,3,1012.5
"2025-10-21T11:00",31.1,71,0,2.9,1011.7
"2025-10-21T12:00",31.9,66,0,3.1,1010.9
"2025-10-21T13:00",32.3,63,0,3.6,1010
"2025-10-21T14:00",32.3,62,0,4.6,1009.1
"2025-10-21T15:00",32,64,0,4.9,1008.5
"2025-10-21T16:00",31.1,70,0,4.6,1008.3
"2025-10-21T17:00",29.8,78,0,4.1,1008.5
"2025-10-21T18:00",28.7,84,0,3.8,1008.8
"2025-10-21T19:00",27.9,87,0,3.6,1009.5
"2025-10-21T20:00",27.3,88,0,3.3,1010.3
"2025-10-21T21:00",26.8,89,0,3.3,1011
"2025-10-21T22:00",26.3,90,0,3.8,1011.3
"2025-10-21T23:00",25.9,91,0,3.8,1011.4
